order_date,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,product_category,age,gender,income_bracket,delivery_time_days,stock_level,total_weighted_landing_price,stock_to _order_ratio,stock_deficit_flag,total_spent,discount_percent,order_month,order_day,order_weekday,age_group,delivery_delay_flag,age_bin,price_bin
2024-03-06,2,3688914,200728,17523,0.3877325595413757,1.073054090913367,0.15731631563190915,574365,0,29.0,2,0,0.7726290502291795,1.2804397311944333,-1.026732826193616,-0.0700003356651661,0,1.1166731552335214,-0.44758206348282004,3.0,6.0,2.0,0,0,0,0
,1,7193565,582438,46933,-1.5490174930639218,-0.2571080740164767,1.70175833389941,464767,0,19.0,1,1,1.5469085406672662,-1.6317341939642585,1.6916169259147922,-0.7098499541188621,0,-1.0560839187212276,0.30062234017371786,,,,0,1,0,0
2023-06-07,1,6632727,653726,23620,-1.5490174930639218,1.3433567659983008,0.4709446063038378,283512,4,53.0,0,0,0.7726290502291795,1.190301014463331,0.8152689673013572,3.7865896667845207,0,-0.8423564451350332,-0.42474917207532287,6.0,7.0,2.0,2,0,1,0
,3,6534479,319653,23606,-1.1616674825428621,-0.9422811930239662,-0.6965553019944782,986004,0,30.0,0,0,-1.163069675866037,-0.5951389515565813,1.4749707607336273,0.03587406163292742,0,-1.0176869599993732,-0.22381005805265425,,,,1,0,0,0
,5,9441721,494653,94029,0.3877325595413757,-0.17779836392201784,-1.275894047422106,199154,4,42.0,2,1,1.1597687954482228,-1.5970654567599885,1.7071320797336906,-0.8341372900774937,0,0.11443357464296763,-0.6403336967232571,,,,1,1,1,0
,1,4874785,952876,85651,-1.1616674825428621,-1.0217733920970131,0.7354441410183327,562087,0,45.0,0,1,-1.163069675866037,0.6668030826788519,1.0817928499577767,1.041220512498303,0,-1.0389178754845723,0.659457582813882,,,,2,0,1,0
2025-08-02,4,1885957,417623,20398,-0.38696746150074324,1.594826578492926,-0.6628225294180711,790060,2,52.0,2,0,0.38548930501013623,-1.6594691837276747,-1.4240070771706257,-0.8410421420751955,0,0.5973345490329014,-0.6179836908029117,8.0,2.0,5.0,2,0,1,0
,2,3198412,187566,70609,-0.7743174720218028,-1.455695685384183,-1.1829991814040004,262560,3,49.0,0,2,0.7726290502291795,-0.286587190438577,1.6014054683932384,-0.10222297832110767,0,-1.0934768442497969,-0.15756584870348164,,,,2,0,1,1
,1,9833848,550115,74911,0.3877325595413757,-0.9177546743017037,0.6638268700099604,624581,3,32.0,1,2,-1.163069675866037,-0.9834288082444068,-0.5157303045194856,-0.6711827829317323,0,-0.4784528999395746,0.4723609054749614,,,,1,0,0,0
,3,2674400,664856,10755,1.5497825911045542,-0.11827045910652688,-1.38176305673883,371450,0,40.0,2,0,0.38548930501013623,1.6201933557962809,1.5848786105177495,-0.2765321309742009,0,0.8819340938014373,-0.6754864120139277,,,,1,0,1,0
2024-02-08,3,3881000,999497,14632,0.3877325595413757,-0.955529892869474,-1.5578654284454065,259806,2,25.0,2,2,0.38548930501013623,-0.8967569652337315,1.1573876600603419,-0.6481666096060599,0,-0.5087201141643419,-0.6832487461264818,2.0,8.0,3.0,0,0,0,0
2023-02-08,2,6111134,330900,66781,-1.5490174930639218,-1.6570905221541894,-1.4558021678296107,571842,3,60.0,1,2,-0.0016504402089070704,0.9060173693883159,-0.6345878440349836,3.3336313757352856,0,-1.243038798468993,-0.22496187889147418,2.0,8.0,2.0,3,0,1,1
2024-09-01,3,7831159,347134,73278,-0.7743174720218028,-1.3678089932960762,1.0879948615861157,299070,2,40.0,2,2,-0.38879018542795035,-0.1340447467397884,1.1130283283483078,-0.021206048214740474,0,-1.0582674472192466,1.9024865839242309,9.0,1.0,6.0,1,0,1,1
2024-07-02,4,7085298,584818,47171,0.7750825700624352,1.6423467085173096,-0.976277831512685,493009,1,54.0,0,0,1.1597687954482228,-1.4237217707386376,1.0772649436905195,-0.7998103115746336,0,2.0478652025302853,-0.6659398897971129,7.0,2.0,1.0,2,1,1,0
,0,8342167,246942,56785,0.0003825490203162097,-1.3831745652932077,0.981606886537447,707504,3,58.0,0,2,-0.0016504402089070704,1.3359097107212656,1.2850746167969909,0.10768452240902567,0,-0.9223866637454482,1.8757943380884332,,,,2,0,1,1
2024-12-10,4,8247425,225416,29721,-0.7743174720218028,0.5042359446537535,1.6007330047475037,103240,3,29.0,0,2,-0.38879018542795035,0.9614873489151481,0.6327731201702698,0.5606428134582608,0,-0.3082838955203277,-0.05993186911377844,12.0,10.0,1.0,0,0,0,0
2023-09-08,5,3953426,178079,41438,1.1624325805834945,-0.5812814955806657,0.8305878585415323,269767,0,27.0,1,2,1.1597687954482228,-0.11671037813765332,0.11945004653417009,-0.5482764173726411,0,0.14735221632961465,0.2224665297550743,9.0,8.0,4.0,0,1,0,0
,4,7998255,920313,54837,-1.1616674825428621,0.9657140737077509,1.5586967804599812,750668,3,46.0,0,1,-1.5502094210850803,-1.4514567605020539,1.0364147393356093,-0.646325315740006,0,-0.5080962488791938,-0.18223955170731543,,,,2,0,1,0
,2,6012628,647947,88883,-0.7743174720218028,-0.18174012585952445,-0.7934289052908269,499985,2,60.0,1,0,-0.38879018542795035,1.6999314513661021,1.1777137142882002,0.9528384069277205,0,-0.5831014275756419,-0.49519886086861004,,,,3,0,1,0
,3,4486874,186054,33943,-0.7743174720218028,-1.3395232016148955,0.5179974993334926,543941,2,59.0,2,0,-0.0016504402089070704,0.9060173693883159,0.3596200997444445,0.5311821116013999,0,-1.0469355191882346,1.255483891124758,,,,2,0,1,1
,1,8535868,169932,55666,-1.1616674825428621,0.9834885002222477,-0.3197861806026081,815190,0,18.0,1,0,-0.7759299306469937,-0.8551544805886073,0.275542540244315,-0.17127149829812524,0,-0.5033490239750193,-0.5230742534286894,,,,0,0,0,0
2024-02-08,0,2448544,331652,96333,0.0003825490203162097,-0.3042997238794013,-0.13330449425713697,273778,1,56.0,2,2,-1.5502094210850803,1.3324428370008385,0.5230916656995097,0.10657974608939345,0,-0.20201721730090727,-0.2605964750302601,2.0,8.0,3.0,2,0,1,0
,5,8356866,431699,17859,0.3877325595413757,-0.8734463503004736,-1.1420008885803672,254420,4,58.0,0,1,-0.7759299306469937,0.8470805161410566,1.7203903552725024,-0.18508120229352873,0,-0.44295106605661094,-0.4828213803862517,,,,2,0,1,0
,0,2207893,754434,24105,-0.38696746150074324,0.5800053685636,-1.39093145133652,595614,1,60.0,1,1,1.5469085406672662,0.5385287550230524,0.45558341319612383,0.03449309123338707,0,0.05525410360961431,-0.7055357997565509,,,,3,1,1,0
